region,season,baseline_mean,baseline_std,baseline_median
addis_ababa,Belg,193.3,50.7,189.4
addis_ababa,Kiremt,844.4,122.5,857.3
afar,Belg,44.9,18.2,42.8
afar,Kiremt,108.0,25.8,107.6
amhara,Belg,182.2,75.2,170.8
amhara,Kiremt,1070.7,111.5,1082.8
benishangul_gumz,Belg,160.0,40.4,154.4
benishangul_gumz,Kiremt,867.1,63.2,874.1
dire_dawa,Belg,218.3,79.8,219.4
dire_dawa,Kiremt,288.2,51.4,296.0
gambela,Belg,252.3,40.9,245.2
gambela,Kiremt,701.3,72.0,694.0
harari,Belg,291.6,83.1,273.4
harari,Kiremt,464.1,72.7,466.2
oromia,Belg,304.8,80.8,290.2
oromia,Kiremt,505.7,74.2,508.6
snnpr,Belg,450.6,87.7,438.2
snnpr,Kiremt,526.7,108.5,509.8
somali,Belg,191.9,62.8,183.8
somali,Kiremt,17.0,6.5,14.0
tigray,Belg,96.6,42.3,96.6
tigray,Kiremt,767.6,80.0,766.1
