region,year,belg_total_mm,belg_antecedent_anom_z
addis_ababa,1981,256.2684,1.2401
addis_ababa,1982,192.3863,-0.0188
addis_ababa,1983,303.0154,2.1614
addis_ababa,1984,154.7693,-0.7601
addis_ababa,1985,197.0459,0.073
addis_ababa,1986,259.8871,1.3114
addis_ababa,1987,356.4562,3.0
addis_ababa,1988,142.5413,-1.0011
addis_ababa,1989,248.2878,1.0828
addis_ababa,1990,211.1906,0.3518
addis_ababa,1991,184.7124,-0.17
addis_ababa,1992,137.0988,-1.1084
addis_ababa,1993,239.8277,0.9161
addis_ababa,1994,155.5514,-0.7447
addis_ababa,1995,229.9716,0.7219
addis_ababa,1996,257.1473,1.2574
addis_ababa,1997,154.0293,-0.7747
addis_ababa,1998,199.3677,0.1188
addis_ababa,1999,101.5754,-1.8084
addis_ababa,2000,185.6058,-0.1524
addis_ababa,2001,273.7725,1.5851
addis_ababa,2002,169.5543,-0.4688
addis_ababa,2003,180.1368,-0.2602
addis_ababa,2004,195.9545,0.0515
addis_ababa,2005,264.3213,1.3988
addis_ababa,2006,236.3549,0.8477
addis_ababa,2007,210.2999,0.3342
addis_ababa,2008,103.0356,-1.7797
addis_ababa,2009,118.8885,-1.4673
addis_ababa,2010,248.0769,1.0787
addis_ababa,2011,193.2432,-0.0019
addis_ababa,2012,175.0296,-0.3609
addis_ababa,2013,165.5083,-0.5485
addis_ababa,2014,150.4394,-0.8455
addis_ababa,2015,173.8784,-0.3836
addis_ababa,2016,320.4755,2.5055
addis_ababa,2017,161.1668,-0.6341
addis_ababa,2018,193.2396,-0.002
addis_ababa,2019,202.883,0.188
addis_ababa,2020,219.0884,0.5074
addis_ababa,2021,151.3493,-0.8275
addis_ababa,2022,85.8897,-2.1176
addis_ababa,2023,340.0596,2.8914
afar,1981,79.1559,1.8787
afar,1982,51.3563,0.3541
afar,1983,74.8038,1.6401
afar,1984,40.7362,-0.2284
afar,1985,43.6737,-0.0673
afar,1986,95.0695,2.7515
afar,1987,84.4543,2.1693
afar,1988,28.3233,-0.9091
afar,1989,66.8526,1.204
afar,1990,51.3602,0.3543
afar,1991,31.6997,-0.724
afar,1992,19.8418,-1.3743
afar,1993,58.5982,0.7513
afar,1994,27.5852,-0.9496
afar,1995,77.2246,1.7728
afar,1996,58.0668,0.7221
afar,1997,45.744,0.0463
afar,1998,39.2576,-0.3095
afar,1999,21.0589,-1.3075
afar,2000,24.1784,-1.1365
afar,2001,43.3728,-0.0838
afar,2002,34.2998,-0.5814
afar,2003,36.9235,-0.4375
afar,2004,45.5382,0.035
afar,2005,51.8432,0.3808
afar,2006,33.0442,-0.6502
afar,2007,29.3823,-0.8511
afar,2008,27.057,-0.9786
afar,2009,24.1209,-1.1396
afar,2010,54.0388,0.5012
afar,2011,39.7694,-0.2814
afar,2012,38.7697,-0.3362
afar,2013,58.0584,0.7217
afar,2014,46.897,0.1095
afar,2015,42.293,-0.143
afar,2016,104.882,3.0
afar,2017,61.1027,0.8886
afar,2018,55.0553,0.557
afar,2019,52.6574,0.4255
afar,2020,64.638,1.0825
afar,2021,43.8011,-0.0603
afar,2022,14.8783,-1.6465
afar,2023,89.9626,2.4714
amhara,1981,112.988,-0.9213
amhara,1982,175.8864,-0.0843
amhara,1983,148.8602,-0.444
amhara,1984,146.7115,-0.4726
amhara,1985,216.3332,0.4539
amhara,1986,81.8227,-1.3361
amhara,1987,286.9401,1.3934
amhara,1988,72.1554,-1.4647
amhara,1989,182.4872,0.0035
amhara,1990,100.6366,-1.0857
amhara,1991,119.872,-0.8297
amhara,1992,200.9618,0.2493
amhara,1993,241.2455,0.7854
amhara,1994,177.1587,-0.0674
amhara,1995,174.9807,-0.0964
amhara,1996,243.1361,0.8105
amhara,1997,260.6592,1.0437
