date,rainfall_mm
1981-01-01,0.01
1981-02-01,0.56
1981-03-01,8.64
1981-04-01,5.09
1981-05-01,1.32
1981-06-01,2.44
1981-07-01,9.45
1981-08-01,8.67
1981-09-01,7.23
1981-10-01,1.2
1981-11-01,0.54
1981-12-01,0.18
1982-01-01,6.22
1982-02-01,2.1
1982-03-01,1.52
1982-04-01,2.02
1982-05-01,3.91
1982-06-01,4.41
1982-07-01,6.66
1982-08-01,8.55
1982-09-01,6.39
1982-10-01,3.05
1982-11-01,1.33
1982-12-01,1.41
1983-01-01,0.47
1983-02-01,2.17
1983-03-01,1.98
1983-04-01,6.77
1983-05-01,8.84
1983-06-01,3.27
1983-07-01,6.65
1983-08-01,13.34
1983-09-01,5.96
1983-10-01,3.44
1983-11-01,0.34
1983-12-01,0.06
1984-01-01,0.08
1984-02-01,0.07
1984-03-01,0.64
1984-04-01,0.44
1984-05-01,4.69
1984-06-01,5.98
1984-07-01,10.79
1984-08-01,5.91
1984-09-01,5.61
1984-10-01,0.28
1984-11-01,0.35
1984-12-01,0.39
1985-01-01,0.45
1985-02-01,0.01
1985-03-01,1.14
1985-04-01,4.72
1985-05-01,4.67
1985-06-01,5.81
1985-07-01,9.32
1985-08-01,11.37
1985-09-01,6.26
1985-10-01,1.71
1985-11-01,0.36
1985-12-01,0.21
1986-01-01,0.0
1986-02-01,1.76
1986-03-01,2.17
1986-04-01,5.47
1986-05-01,1.76
1986-06-01,7.1
1986-07-01,6.76
1986-08-01,11.69
1986-09-01,6.07
1986-10-01,1.61
1986-11-01,0.68
1986-12-01,1.04
1987-01-01,0.09
1987-02-01,3.17
1987-03-01,8.43
1987-04-01,4.96
1987-05-01,10.03
1987-06-01,7.26
1987-07-01,7.87
1987-08-01,7.0
1987-09-01,3.92
1987-10-01,1.27
1987-11-01,0.12
1987-12-01,0.11
1988-01-01,0.48
1988-02-01,1.93
1988-03-01,0.46
1988-04-01,2.56
1988-05-01,0.65
1988-06-01,4.56
1988-07-01,9.06
1988-08-01,10.26
1988-09-01,9.14
1988-10-01,2.4
1988-11-01,0.04
1988-12-01,0.36
1989-01-01,0.45
1989-02-01,1.94
1989-03-01,3.32
1989-04-01,5.04
1989-05-01,0.49
1989-06-01,4.29
1989-07-01,11.44
1989-08-01,9.34
1989-09-01,4.1
1989-10-01,1.63
1989-11-01,0.46
1989-12-01,1.51
1990-01-01,0.32
1990-02-01,6.26
1990-03-01,2.13
1990-04-01,3.67
1990-05-01,1.01
1990-06-01,3.26
1990-07-01,8.11
1990-08-01,10.64
1990-09-01,5.62
1990-10-01,1.27
1990-11-01,0.17
1990-12-01,0.31
1991-01-01,0.17
1991-02-01,1.2
1991-03-01,2.95
1991-04-01,2.26
1991-05-01,1.52
1991-06-01,3.62
1991-07-01,9.34
1991-08-01,10.07
1991-09-01,4.9
1991-10-01,0.16
1991-11-01,0.12
1991-12-01,0.49
1992-01-01,1.71
1992-02-01,2.35
1992-03-01,0.81
1992-04-01,3.49
1992-05-01,0.99
1992-06-01,4.93
1992-07-01,7.77
1992-08-01,8.87
1992-09-01,3.01
1992-10-01,1.38
1992-11-01,0.57
1992-12-01,0.39
