date,rainfall_mm
1981-01-01,0.09
1981-02-01,0.1
1981-03-01,3.35
1981-04-01,1.87
1981-05-01,0.42
1981-06-01,0.15
1981-07-01,2.96
1981-08-01,4.68
1981-09-01,2.07
1981-10-01,0.51
1981-11-01,0.01
1981-12-01,0.12
1982-01-01,4.07
1982-02-01,0.82
1982-03-01,1.53
1982-04-01,1.52
1982-05-01,0.82
1982-06-01,0.6
1982-07-01,1.41
1982-08-01,2.39
1982-09-01,1.16
1982-10-01,1.14
1982-11-01,0.3
1982-12-01,1.89
1983-01-01,0.22
1983-02-01,1.91
1983-03-01,1.69
1983-04-01,2.81
1983-05-01,2.37
1983-06-01,0.5
1983-07-01,2.67
1983-08-01,6.4
1983-09-01,1.95
1983-10-01,0.73
1983-11-01,0.1
1983-12-01,0.11
1984-01-01,0.01
1984-02-01,0.0
1984-03-01,0.04
1984-04-01,0.12
1984-05-01,2.16
1984-06-01,0.77
1984-07-01,2.48
1984-08-01,3.3
1984-09-01,2.02
1984-10-01,0.22
1984-11-01,0.08
1984-12-01,0.5
1985-01-01,0.33
1985-02-01,0.02
1985-03-01,0.42
1985-04-01,1.52
1985-05-01,1.11
1985-06-01,0.66
1985-07-01,2.92
1985-08-01,4.17
1985-09-01,1.82
1985-10-01,0.27
1985-11-01,0.03
1985-12-01,0.06
1986-01-01,0.0
1986-02-01,1.02
1986-03-01,1.13
1986-04-01,2.72
1986-05-01,1.11
1986-06-01,2.18
1986-07-01,3.97
1986-08-01,8.75
1986-09-01,4.31
1986-10-01,0.66
1986-11-01,0.12
1986-12-01,0.47
1987-01-01,0.01
1987-02-01,0.94
1987-03-01,4.24
1987-04-01,1.86
1987-05-01,3.35
1987-06-01,1.35
1987-07-01,2.63
1987-08-01,4.11
1987-09-01,1.36
1987-10-01,0.25
1987-11-01,0.04
1987-12-01,0.07
1988-01-01,0.3
1988-02-01,1.3
1988-03-01,0.31
1988-04-01,0.64
1988-05-01,0.03
1988-06-01,0.77
1988-07-01,4.6
1988-08-01,4.35
1988-09-01,3.03
1988-10-01,0.53
1988-11-01,0.02
1988-12-01,0.05
1989-01-01,0.31
1989-02-01,1.14
1989-03-01,2.57
1989-04-01,3.64
1989-05-01,0.1
1989-06-01,0.54
1989-07-01,2.88
1989-08-01,4.74
1989-09-01,1.71
1989-10-01,0.09
1989-11-01,0.1
1989-12-01,0.64
1990-01-01,0.2
1990-02-01,2.77
1990-03-01,0.78
1990-04-01,1.25
1990-05-01,0.13
1990-06-01,0.16
1990-07-01,2.63
1990-08-01,3.52
1990-09-01,1.54
1990-10-01,0.07
1990-11-01,0.0
1990-12-01,0.03
1991-01-01,0.06
1991-02-01,0.91
1991-03-01,2.4
1991-04-01,0.66
1991-05-01,0.29
1991-06-01,0.08
1991-07-01,4.21
1991-08-01,4.34
1991-09-01,1.03
1991-10-01,1.2
1991-11-01,0.09
1991-12-01,0.58
1992-01-01,0.73
1992-02-01,1.22
1992-03-01,0.43
1992-04-01,0.69
1992-05-01,0.71
1992-06-01,0.73
1992-07-01,3.57
1992-08-01,4.07
1992-09-01,1.61
1992-10-01,0.13
1992-11-01,0.15
1992-12-01,0.14
1993-01-01,0.27
1993-02-01,0.31
1993-03-01,0.21
1993-04-01,3.22
1993-05-01,2.74
1993-06-01,0.61
1993-07-01,5.45
1993-08-01,3.18
1993-09-01,2.41
1993-10-01,1.1
1993-11-01,0.48
1993-12-01,0.04
1994-01-01,0.0
1994-02-01,0.0
1994-03-01,0.86
1994-04-01,1.51
1994-05-01,1.19
1994-06-01,1.24
1994-07-01,6.53
1994-08-01,5.06
1994-09-01,2.49
1994-10-01,0.04
1994-11-01,1.9
1994-12-01,0.02
1995-01-01,0.0
1995-02-01,1.55
1995-03-01,3.01
1995-04-01,1.58
1995-05-01,1.87
1995-06-01,0.65
1995-07-01,5.12
1995-08-01,4.49
1995-09-01,1.39
1995-10-01,0.98
1995-11-01,0.08
1995-12-01,1.0
1996-01-01,0.71
1996-02-01,0.01
1996-03-01,3.35
1996-04-01,2.12
1996-05-01,1.56
1996-06-01,1.28
1996-07-01,4.09
1996-08-01,5.11
1996-09-01,1.55
1996-10-01,0.24
1996-11-01,0.61
1996-12-01,0.02
1997-01-01,0.27
1997-02-01,0.0
1997-03-01,2.07
1997-04-01,1.18
1997-05-01,0.21
1997-06-01,1.85
1997-07-01,4.98
1997-08-01,4.49
1997-09-01,0.83
1997-10-01,2.01
1997-11-01,0.47
1997-12-01,0.0
1998-01-01,0.6
1998-02-01,1.06
1998-03-01,0.86
1998-04-01,0.74
1998-05-01,0.61
1998-06-01,0.26
1998-07-01,5.5
1998-08-01,5.19
1998-09-01,3.56
1998-10-01,1.77
1998-11-01,0.05
1998-12-01,0.0
1999-01-01,0.57
1999-02-01,0.05
1999-03-01,4.52
1999-04-01,0.23
1999-05-01,0.11
1999-06-01,0.52
1999-07-01,5.66
1999-08-01,8.35
1999-09-01,1.96
1999-10-01,1.89
1999-11-01,0.14
1999-12-01,0.05
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.19
2000-04-01,0.65
2000-05-01,0.2
2000-06-01,0.16
2000-07-01,1.18
2000-08-01,3.31
2000-09-01,0.87
2000-10-01,0.4
2000-11-01,0.17
2000-12-01,0.07
2001-01-01,0.04
2001-02-01,0.05
2001-03-01,3.02
2001-04-01,0.18
2001-05-01,1.01
2001-06-01,0.13
2001-07-01,0.49
2001-08-01,2.5
2001-09-01,1.56
2001-10-01,0.2
2001-11-01,0.07
2001-12-01,0.05
2002-01-01,0.44
2002-02-01,0.01
2002-03-01,1.58
2002-04-01,0.98
2002-05-01,0.27
2002-06-01,0.39
2002-07-01,2.17
2002-08-01,1.9
2002-09-01,1.21
2002-10-01,0.03
2002-11-01,0.01
2002-12-01,0.48
2003-01-01,0.05
2003-02-01,0.33
2003-03-01,0.43
2003-04-01,2.04
2003-05-01,0.55
2003-06-01,0.19
2003-07-01,0.75
2003-08-01,3.58
2003-09-01,1.5
2003-10-01,0.01
2003-11-01,0.03
2003-12-01,0.97
2004-01-01,0.17
2004-02-01,0.0
2004-03-01,0.54
2004-04-01,2.02
2004-05-01,0.05
2004-06-01,0.43
2004-07-01,1.37
2004-08-01,1.38
2004-09-01,0.92
2004-10-01,0.21
2004-11-01,0.19
2004-12-01,1.2
2005-01-01,0.59
2005-02-01,0.01
2005-03-01,0.84
2005-04-01,5.19
2005-05-01,1.55
2005-06-01,0.01
2005-07-01,1.16
2005-08-01,1.3
2005-09-01,0.94
2005-10-01,0.09
2005-11-01,0.18
2005-12-01,0.0
2006-01-01,0.24
2006-02-01,0.37
2006-03-01,2.41
2006-04-01,2.56
2006-05-01,0.44
2006-06-01,0.2
2006-07-01,4.55
2006-08-01,5.44
2006-09-01,1.75
2006-10-01,0.53
2006-11-01,0.03
2006-12-01,0.67
2007-01-01,0.39
2007-02-01,0.7
2007-03-01,0.44
2007-04-01,1.89
2007-05-01,0.57
2007-06-01,0.35
2007-07-01,3.55
2007-08-01,2.27
2007-09-01,1.3
2007-10-01,0.35
2007-11-01,0.06
2007-12-01,0.0
2008-01-01,0.29
2008-02-01,0.09
2008-03-01,0.0
2008-04-01,1.49
2008-05-01,0.48
2008-06-01,0.21
2008-07-01,3.28
2008-08-01,3.31
2008-09-01,1.64
2008-10-01,0.17
2008-11-01,0.81
2008-12-01,0.01
2009-01-01,0.43
2009-02-01,0.07
2009-03-01,0.55
2009-04-01,1.07
2009-05-01,0.12
2009-06-01,0.57
2009-07-01,3.67
2009-08-01,3.82
2009-09-01,0.62
2009-10-01,1.11
2009-11-01,0.03
2009-12-01,0.26
2010-01-01,0.01
