date,rainfall_mm
1981-01-01,0.08
1981-02-01,0.07
1981-03-01,3.13
1981-04-01,2.92
1981-05-01,1.32
1981-06-01,1.3
1981-07-01,10.75
1981-08-01,11.71
1981-09-01,5.57
1981-10-01,1.28
1981-11-01,0.11
1981-12-01,0.02
1982-01-01,5.48
1982-02-01,1.05
1982-03-01,1.95
1982-04-01,2.49
1982-05-01,1.93
1982-06-01,4.74
1982-07-01,5.53
1982-08-01,8.33
1982-09-01,4.33
1982-10-01,2.35
1982-11-01,0.55
1982-12-01,2.3
1983-01-01,0.28
1983-02-01,1.17
1983-03-01,2.37
1983-04-01,2.04
1983-05-01,4.83
1983-06-01,2.65
1983-07-01,6.2
1983-08-01,14.24
1983-09-01,4.64
1983-10-01,2.63
1983-11-01,0.96
1983-12-01,0.08
1984-01-01,0.09
1984-02-01,0.01
1984-03-01,2.02
1984-04-01,0.27
1984-05-01,2.43
1984-06-01,4.75
1984-07-01,11.4
1984-08-01,8.09
1984-09-01,5.57
1984-10-01,0.04
1984-11-01,0.27
1984-12-01,0.66
1985-01-01,0.36
1985-02-01,0.05
1985-03-01,0.74
1985-04-01,3.24
1985-05-01,3.31
1985-06-01,2.76
1985-07-01,7.42
1985-08-01,11.74
1985-09-01,5.06
1985-10-01,0.86
1985-11-01,0.25
1985-12-01,0.3
1986-01-01,0.0
1986-02-01,1.06
1986-03-01,0.96
1986-04-01,4.61
1986-05-01,0.72
1986-06-01,6.69
1986-07-01,8.85
1986-08-01,15.57
1986-09-01,3.98
1986-10-01,0.59
1986-11-01,0.04
1986-12-01,0.38
1987-01-01,0.02
1987-02-01,2.62
1987-03-01,8.05
1987-04-01,2.08
1987-05-01,5.8
1987-06-01,5.98
1987-07-01,6.93
1987-08-01,9.12
1987-09-01,2.74
1987-10-01,1.09
1987-11-01,0.07
1987-12-01,0.09
1988-01-01,0.45
1988-02-01,3.11
1988-03-01,0.71
1988-04-01,0.78
1988-05-01,0.48
1988-06-01,4.59
1988-07-01,13.05
1988-08-01,12.92
1988-09-01,7.86
1988-10-01,1.45
1988-11-01,0.28
1988-12-01,0.02
1989-01-01,0.31
1989-02-01,1.38
1989-03-01,3.82
1989-04-01,3.28
1989-05-01,0.39
1989-06-01,4.06
1989-07-01,12.26
1989-08-01,14.31
1989-09-01,5.23
1989-10-01,0.43
1989-11-01,0.2
1989-12-01,2.25
1990-01-01,0.17
1990-02-01,2.66
1990-03-01,1.52
1990-04-01,1.35
1990-05-01,0.29
1990-06-01,1.6
1990-07-01,10.0
1990-08-01,11.4
1990-09-01,5.05
1990-10-01,0.42
1990-11-01,0.09
1990-12-01,0.03
1991-01-01,0.09
1991-02-01,0.23
1991-03-01,3.32
1991-04-01,0.74
1991-05-01,0.45
1991-06-01,1.98
1991-07-01,10.74
1991-08-01,10.34
1991-09-01,3.55
1991-10-01,0.79
1991-11-01,0.44
1991-12-01,0.17
1992-01-01,0.32
1992-02-01,1.22
1992-03-01,0.56
1992-04-01,2.75
1992-05-01,1.12
1992-06-01,4.13
1992-07-01,7.53
1992-08-01,9.96
1992-09-01,3.24
1992-10-01,1.58
1992-11-01,0.31
1992-12-01,0.32
1993-01-01,0.29
1993-02-01,0.44
1993-03-01,0.81
1993-04-01,2.81
1993-05-01,3.84
1993-06-01,5.09
1993-07-01,13.95
1993-08-01,10.51
1993-09-01,5.83
1993-10-01,2.21
1993-11-01,0.07
1993-12-01,0.03
1994-01-01,0.0
1994-02-01,0.06
1994-03-01,0.97
1994-04-01,1.66
1994-05-01,1.24
1994-06-01,5.42
1994-07-01,10.91
1994-08-01,11.2
1994-09-01,5.03
1994-10-01,0.25
1994-11-01,0.34
1994-12-01,0.06
1995-01-01,0.0
1995-02-01,0.92
1995-03-01,1.19
1995-04-01,3.59
1995-05-01,2.33
1995-06-01,3.45
1995-07-01,12.56
1995-08-01,10.02
1995-09-01,2.11
1995-10-01,0.33
1995-11-01,0.09
1995-12-01,1.42
1996-01-01,1.03
1996-02-01,0.1
1996-03-01,3.72
1996-04-01,2.96
1996-05-01,3.15
1996-06-01,4.9
1996-07-01,9.24
1996-08-01,11.01
1996-09-01,3.21
1996-10-01,1.02
1996-11-01,1.29
1996-12-01,0.25
1997-01-01,0.71
1997-02-01,0.0
1997-03-01,1.85
1997-04-01,2.26
1997-05-01,1.77
1997-06-01,4.12
1997-07-01,9.15
1997-08-01,7.18
1997-09-01,2.78
1997-10-01,4.6
1997-11-01,0.86
1997-12-01,0.04
1998-01-01,0.65
1998-02-01,0.73
1998-03-01,1.01
1998-04-01,0.54
1998-05-01,2.5
1998-06-01,3.91
1998-07-01,16.56
1998-08-01,10.47
1998-09-01,3.87
1998-10-01,3.33
1998-11-01,0.22
1998-12-01,0.01
1999-01-01,1.62
1999-02-01,0.02
1999-03-01,1.12
1999-04-01,0.62
1999-05-01,1.51
1999-06-01,4.56
1999-07-01,11.87
1999-08-01,12.63
1999-09-01,4.2
1999-10-01,4.91
1999-11-01,0.03
1999-12-01,0.67
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.24
2000-04-01,1.72
2000-05-01,0.66
2000-06-01,2.2
2000-07-01,7.51
2000-08-01,8.3
2000-09-01,1.78
2000-10-01,0.91
2000-11-01,0.27
2000-12-01,0.2
2001-01-01,0.04
2001-02-01,0.29
2001-03-01,1.17
2001-04-01,1.24
2001-05-01,1.87
2001-06-01,2.61
2001-07-01,4.9
2001-08-01,6.91
2001-09-01,2.05
2001-10-01,0.95
2001-11-01,0.1
2001-12-01,0.28
2002-01-01,0.43
2002-02-01,0.07
2002-03-01,1.36
2002-04-01,1.49
2002-05-01,0.75
2002-06-01,2.81
2002-07-01,8.06
2002-08-01,5.21
2002-09-01,2.19
2002-10-01,0.22
2002-11-01,0.04
2002-12-01,0.17
2003-01-01,0.08
2003-02-01,0.34
2003-03-01,0.99
2003-04-01,0.35
2003-05-01,0.19
2003-06-01,2.03
2003-07-01,5.18
2003-08-01,7.79
2003-09-01,2.9
2003-10-01,0.03
2003-11-01,0.05
2003-12-01,0.92
2004-01-01,0.03
2004-02-01,0.14
2004-03-01,0.34
2004-04-01,2.98
2004-05-01,0.33
2004-06-01,2.21
2004-07-01,6.51
2004-08-01,4.21
2004-09-01,2.06
2004-10-01,0.66
2004-11-01,0.22
2004-12-01,0.52
2005-01-01,0.22
2005-02-01,0.06
2005-03-01,0.97
2005-04-01,2.38
2005-05-01,2.86
2005-06-01,1.05
2005-07-01,7.87
2005-08-01,5.35
2005-09-01,2.55
2005-10-01,0.56
2005-11-01,0.18
2005-12-01,0.0
2006-01-01,0.04
2006-02-01,0.47
2006-03-01,2.53
2006-04-01,2.11
2006-05-01,2.5
2006-06-01,4.91
2006-07-01,15.28
2006-08-01,11.6
2006-09-01,6.72
2006-10-01,2.42
2006-11-01,0.58
2006-12-01,0.21
2007-01-01,0.7
2007-02-01,0.74
2007-03-01,0.82
2007-04-01,2.44
2007-05-01,2.04
2007-06-01,2.39
2007-07-01,12.13
2007-08-01,8.4
2007-09-01,4.28
2007-10-01,1.06
2007-11-01,0.1
2007-12-01,0.0
2008-01-01,0.36
2008-02-01,0.0
2008-03-01,0.01
2008-04-01,1.19
2008-05-01,2.13
2008-06-01,1.89
2008-07-01,9.69
2008-08-01,12.49
2008-09-01,4.14
2008-10-01,1.0
2008-11-01,2.04
2008-12-01,0.1
2009-01-01,0.48
2009-02-01,0.3
2009-03-01,0.71
2009-04-01,0.86
2009-05-01,0.27
2009-06-01,2.46
2009-07-01,12.72
2009-08-01,9.78
2009-09-01,2.41
2009-10-01,3.43
2009-11-01,0.22
2009-12-01,0.69
2010-01-01,0.01
2010-02-01,0.16
2010-03-01,1.55
2010-04-01,2.62
2010-05-01,2.78
2010-06-01,3.33
2010-07-01,11.51
2010-08-01,15.02
2010-09-01,3.99
2010-10-01,0.33
2010-11-01,0.36
2010-12-01,0.13
2011-01-01,0.3
2011-02-01,0.04
2011-03-01,1.58
2011-04-01,0.67
2011-05-01,3.33
2011-06-01,1.99
2011-07-01,4.83
2011-08-01,5.97
2011-09-01,1.88
2011-10-01,0.1
2011-11-01,1.39
2011-12-01,0.0
2012-01-01,0.01
2012-02-01,0.0
2012-03-01,0.72
2012-04-01,1.12
2012-05-01,0.96
2012-06-01,1.47
2012-07-01,10.96
2012-08-01,9.45
2012-09-01,3.45
2012-10-01,0.73
2012-11-01,0.43
2012-12-01,0.24
2013-01-01,0.42
2013-02-01,0.04
2013-03-01,0.85
2013-04-01,1.01
2013-05-01,2.51
2013-06-01,4.35
2013-07-01,14.79
2013-08-01,11.49
2013-09-01,3.99
2013-10-01,4.62
2013-11-01,0.49
2013-12-01,0.0
2014-01-01,0.16
2014-02-01,0.42
2014-03-01,1.27
2014-04-01,1.81
2014-05-01,3.75
2014-06-01,2.86
2014-07-01,13.53
2014-08-01,10.09
2014-09-01,6.07
2014-10-01,3.36
2014-11-01,0.61
2014-12-01,0.37
2015-01-01,0.13
2015-02-01,0.53
2015-03-01,1.01
2015-04-01,0.01
2015-05-01,1.92
2015-06-01,3.45
2015-07-01,5.1
2015-08-01,12.6
2015-09-01,2.37
2015-10-01,0.45
2015-11-01,1.25
2015-12-01,1.01
2016-01-01,0.06
2016-02-01,0.27
2016-03-01,1.02
2016-04-01,1.5
2016-05-01,5.03
2016-06-01,2.98
2016-07-01,14.42
2016-08-01,12.47
2016-09-01,4.7
2016-10-01,0.82
2016-11-01,0.03
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,1.47
2017-03-01,0.82
2017-04-01,2.38
2017-05-01,3.89
2017-06-01,2.13
2017-07-01,10.9
2017-08-01,8.23
2017-09-01,4.74
2017-10-01,0.63
2017-11-01,0.14
