date,rainfall_mm
1981-01-01,0.03
1981-02-01,0.02
1981-03-01,1.02
1981-04-01,2.36
1981-05-01,7.63
1981-06-01,4.65
1981-07-01,15.52
1981-08-01,13.82
1981-09-01,8.91
1981-10-01,1.71
1981-11-01,1.76
1981-12-01,0.05
1982-01-01,1.3
1982-02-01,0.26
1982-03-01,0.5
1982-04-01,2.33
1982-05-01,3.22
1982-06-01,5.64
1982-07-01,5.9
1982-08-01,8.43
1982-09-01,7.67
1982-10-01,5.34
1982-11-01,0.36
1982-12-01,1.53
1983-01-01,0.06
1983-02-01,0.32
1983-03-01,0.3
1983-04-01,0.68
1983-05-01,4.62
1983-06-01,6.51
1983-07-01,5.99
1983-08-01,16.23
1983-09-01,7.65
1983-10-01,5.71
1983-11-01,1.35
1983-12-01,0.04
1984-01-01,0.01
1984-02-01,0.0
1984-03-01,0.18
1984-04-01,0.8
1984-05-01,4.66
1984-06-01,7.11
1984-07-01,11.9
1984-08-01,10.37
1984-09-01,8.59
1984-10-01,0.26
1984-11-01,0.5
1984-12-01,0.63
1985-01-01,0.09
1985-02-01,0.0
1985-03-01,1.37
1985-04-01,1.96
1985-05-01,6.24
1985-06-01,5.07
1985-07-01,11.68
1985-08-01,14.23
1985-09-01,13.76
1985-10-01,4.13
1985-11-01,0.93
1985-12-01,0.43
1986-01-01,0.0
1986-02-01,0.16
1986-03-01,0.42
1986-04-01,2.28
1986-05-01,1.11
1986-06-01,8.29
1986-07-01,12.81
1986-08-01,11.5
1986-09-01,9.22
1986-10-01,2.84
1986-11-01,0.39
1986-12-01,0.45
1987-01-01,0.02
1987-02-01,0.77
1987-03-01,1.96
1987-04-01,2.01
1987-05-01,13.91
1987-06-01,12.1
1987-07-01,11.41
1987-08-01,9.39
1987-09-01,10.57
1987-10-01,6.01
1987-11-01,1.01
1987-12-01,0.17
1988-01-01,0.17
1988-02-01,0.88
1988-03-01,0.08
1988-04-01,0.24
1988-05-01,3.94
1988-06-01,9.39
1988-07-01,12.65
1988-08-01,12.43
1988-09-01,9.93
1988-10-01,7.6
1988-11-01,0.65
1988-12-01,0.09
1989-01-01,0.03
1989-02-01,0.12
1989-03-01,1.74
1989-04-01,1.21
1989-05-01,5.34
1989-06-01,6.1
1989-07-01,11.81
1989-08-01,8.54
1989-09-01,10.45
1989-10-01,2.37
1989-11-01,0.27
1989-12-01,0.53
1990-01-01,0.07
