date,rainfall_mm
1981-01-01,0.0
1981-02-01,0.31
1981-03-01,6.63
1981-04-01,9.27
1981-05-01,0.72
1981-06-01,0.67
1981-07-01,3.0
1981-08-01,5.11
1981-09-01,4.9
1981-10-01,1.89
1981-11-01,0.2
1981-12-01,0.07
1982-01-01,3.93
1982-02-01,2.05
1982-03-01,0.68
1982-04-01,2.7
1982-05-01,4.73
1982-06-01,1.39
1982-07-01,2.34
1982-08-01,2.92
1982-09-01,5.69
1982-10-01,2.36
1982-11-01,0.99
1982-12-01,1.09
1983-01-01,0.27
1983-02-01,1.68
1983-03-01,4.54
1983-04-01,7.52
1983-05-01,5.69
1983-06-01,1.21
1983-07-01,3.12
1983-08-01,8.68
1983-09-01,5.01
1983-10-01,0.99
1983-11-01,0.05
1983-12-01,0.09
1984-01-01,0.03
1984-02-01,0.1
1984-03-01,0.3
1984-04-01,0.28
1984-05-01,6.98
1984-06-01,1.82
1984-07-01,3.5
1984-08-01,4.89
1984-09-01,4.98
1984-10-01,0.39
1984-11-01,0.07
1984-12-01,0.36
1985-01-01,0.44
1985-02-01,0.0
1985-03-01,1.95
1985-04-01,4.91
1985-05-01,3.29
1985-06-01,1.97
1985-07-01,2.75
1985-08-01,4.61
1985-09-01,4.78
1985-10-01,0.6
1985-11-01,0.12
1985-12-01,0.01
1986-01-01,0.0
1986-02-01,2.34
1986-03-01,2.26
1986-04-01,7.3
1986-05-01,3.9
1986-06-01,2.93
1986-07-01,2.7
1986-08-01,10.45
1986-09-01,6.67
1986-10-01,1.92
1986-11-01,0.26
1986-12-01,0.68
1987-01-01,0.04
1987-02-01,1.76
1987-03-01,6.4
1987-04-01,9.28
1987-05-01,10.49
1987-06-01,4.03
1987-07-01,3.76
1987-08-01,3.88
1987-09-01,3.41
1987-10-01,1.8
1987-11-01,0.03
1987-12-01,0.07
1988-01-01,0.52
1988-02-01,1.13
1988-03-01,0.59
1988-04-01,4.83
1988-05-01,0.23
1988-06-01,1.76
1988-07-01,2.35
1988-08-01,6.22
1988-09-01,6.88
1988-10-01,2.8
1988-11-01,0.01
1988-12-01,0.18
1989-01-01,0.06
1989-02-01,1.74
1989-03-01,4.41
1989-04-01,8.17
1989-05-01,0.67
1989-06-01,2.04
1989-07-01,4.42
1989-08-01,5.33
1989-09-01,3.77
1989-10-01,0.61
1989-11-01,0.23
1989-12-01,0.71
1990-01-01,0.39
1990-02-01,5.11
1990-03-01,2.1
