date,rainfall_mm
1981-01-01,0.07
1981-02-01,0.0
1981-03-01,4.7
1981-04-01,3.31
1981-05-01,9.35
1981-06-01,2.12
1981-07-01,8.05
1981-08-01,8.14
1981-09-01,9.02
1981-10-01,3.69
1981-11-01,2.65
1981-12-01,0.38
1982-01-01,2.29
1982-02-01,0.26
1982-03-01,0.95
1982-04-01,6.48
1982-05-01,7.14
1982-06-01,7.73
1982-07-01,4.1
1982-08-01,6.5
1982-09-01,6.8
1982-10-01,13.88
1982-11-01,2.81
1982-12-01,1.21
1983-01-01,0.37
1983-02-01,0.45
1983-03-01,0.92
1983-04-01,4.47
1983-05-01,8.61
1983-06-01,5.67
1983-07-01,6.01
1983-08-01,7.51
1983-09-01,5.36
1983-10-01,6.52
1983-11-01,2.54
1983-12-01,0.18
1984-01-01,0.13
1984-02-01,0.27
1984-03-01,1.75
1984-04-01,5.55
1984-05-01,4.95
1984-06-01,3.02
1984-07-01,7.21
1984-08-01,9.08
1984-09-01,4.41
1984-10-01,1.59
1984-11-01,2.38
1984-12-01,0.58
1985-01-01,0.61
1985-02-01,0.08
1985-03-01,4.4
1985-04-01,5.17
1985-05-01,7.36
1985-06-01,5.28
1985-07-01,7.58
1985-08-01,6.4
1985-09-01,7.24
1985-10-01,2.17
1985-11-01,1.92
1985-12-01,0.54
1986-01-01,0.07
1986-02-01,0.49
1986-03-01,1.95
1986-04-01,4.39
1986-05-01,3.66
1986-06-01,6.99
1986-07-01,6.94
1986-08-01,6.67
1986-09-01,5.43
1986-10-01,4.33
1986-11-01,1.7
1986-12-01,1.4
1987-01-01,0.1
1987-02-01,0.77
1987-03-01,1.93
1987-04-01,3.05
1987-05-01,9.37
1987-06-01,10.59
1987-07-01,8.26
1987-08-01,6.57
1987-09-01,6.6
1987-10-01,3.53
1987-11-01,2.73
1987-12-01,0.6
1988-01-01,1.06
1988-02-01,1.22
1988-03-01,0.43
1988-04-01,4.07
1988-05-01,6.05
1988-06-01,5.46
1988-07-01,6.33
1988-08-01,9.03
1988-09-01,5.76
1988-10-01,10.13
1988-11-01,2.03
1988-12-01,0.69
1989-01-01,0.68
1989-02-01,0.82
1989-03-01,4.11
1989-04-01,2.9
1989-05-01,9.93
1989-06-01,6.46
1989-07-01,9.63
1989-08-01,6.29
1989-09-01,6.65
1989-10-01,4.53
1989-11-01,2.55
1989-12-01,2.08
1990-01-01,0.73
1990-02-01,0.95
1990-03-01,2.47
1990-04-01,2.99
1990-05-01,3.43
1990-06-01,4.22
1990-07-01,7.32
1990-08-01,8.16
1990-09-01,5.0
1990-10-01,3.98
1990-11-01,1.68
1990-12-01,0.71
1991-01-01,0.8
1991-02-01,0.18
1991-03-01,1.68
1991-04-01,4.77
1991-05-01,13.38
1991-06-01,4.71
1991-07-01,6.75
1991-08-01,6.07
1991-09-01,3.5
1991-10-01,5.18
1991-11-01,1.61
1991-12-01,0.4
1992-01-01,0.84
1992-02-01,0.34
1992-03-01,1.6
1992-04-01,3.14
1992-05-01,6.99
1992-06-01,5.41
1992-07-01,6.87
1992-08-01,4.74
1992-09-01,2.98
1992-10-01,6.37
1992-11-01,2.62
1992-12-01,0.94
1993-01-01,1.37
1993-02-01,0.11
1993-03-01,2.64
1993-04-01,4.07
1993-05-01,6.75
1993-06-01,9.89
1993-07-01,7.76
1993-08-01,7.1
1993-09-01,2.95
1993-10-01,5.26
1993-11-01,2.37
1993-12-01,0.23
1994-01-01,0.08
1994-02-01,0.36
1994-03-01,1.2
1994-04-01,6.24
1994-05-01,6.94
1994-06-01,7.28
1994-07-01,8.46
1994-08-01,6.06
1994-09-01,3.82
1994-10-01,8.34
1994-11-01,4.42
1994-12-01,0.55
1995-01-01,0.06
1995-02-01,1.39
1995-03-01,4.27
1995-04-01,4.42
1995-05-01,7.29
1995-06-01,5.84
1995-07-01,7.22
1995-08-01,6.14
1995-09-01,5.52
1995-10-01,7.38
1995-11-01,3.03
1995-12-01,1.45
1996-01-01,1.17
1996-02-01,0.72
1996-03-01,4.29
1996-04-01,5.62
1996-05-01,9.67
1996-06-01,7.66
1996-07-01,9.41
1996-08-01,8.32
1996-09-01,7.39
1996-10-01,3.3
1996-11-01,1.57
1996-12-01,0.21
1997-01-01,0.07
1997-02-01,0.06
1997-03-01,1.71
1997-04-01,7.39
1997-05-01,8.98
1997-06-01,4.93
1997-07-01,6.94
1997-08-01,4.45
1997-09-01,1.78
1997-10-01,13.57
1997-11-01,5.65
1997-12-01,2.01
1998-01-01,1.57
1998-02-01,0.29
1998-03-01,2.11
1998-04-01,1.69
1998-05-01,4.34
1998-06-01,11.0
1998-07-01,8.22
1998-08-01,5.28
1998-09-01,2.45
1998-10-01,6.92
1998-11-01,1.39
1998-12-01,0.18
