date,rainfall_mm
1981-01-01,0.0
1981-02-01,1.08
1981-03-01,9.48
1981-04-01,8.01
1981-05-01,2.28
1981-06-01,3.31
1981-07-01,8.83
1981-08-01,10.41
1981-09-01,9.73
1981-10-01,1.32
1981-11-01,0.61
1981-12-01,0.23
1982-01-01,4.0
1982-02-01,3.64
1982-03-01,1.65
1982-04-01,4.3
1982-05-01,7.36
1982-06-01,4.85
1982-07-01,6.06
1982-08-01,8.92
1982-09-01,7.67
1982-10-01,3.33
1982-11-01,2.4
1982-12-01,0.8
1983-01-01,0.8
1983-02-01,2.15
1983-03-01,4.14
1983-04-01,8.75
1983-05-01,10.11
1983-06-01,3.94
1983-07-01,7.27
1983-08-01,12.85
1983-09-01,8.61
1983-10-01,5.67
1983-11-01,1.02
1983-12-01,0.23
1984-01-01,0.34
1984-02-01,0.19
1984-03-01,0.72
1984-04-01,1.48
1984-05-01,7.93
1984-06-01,5.47
1984-07-01,9.11
1984-08-01,8.71
1984-09-01,7.15
1984-10-01,1.56
1984-11-01,0.53
1984-12-01,0.49
1985-01-01,0.93
1985-02-01,0.08
1985-03-01,1.77
1985-04-01,8.71
1985-05-01,5.39
1985-06-01,6.27
1985-07-01,8.27
1985-08-01,9.84
1985-09-01,8.18
1985-10-01,1.95
1985-11-01,0.6
1985-12-01,0.16
1986-01-01,0.0
1986-02-01,2.0
1986-03-01,1.21
1986-04-01,9.0
1986-05-01,4.21
1986-06-01,9.61
1986-07-01,6.66
1986-08-01,10.34
1986-09-01,8.69
1986-10-01,2.6
1986-11-01,0.65
1986-12-01,0.45
1987-01-01,0.26
1987-02-01,4.22
1987-03-01,8.72
1987-04-01,4.33
1987-05-01,13.43
1987-06-01,9.73
1987-07-01,7.3
1987-08-01,8.66
1987-09-01,4.8
1987-10-01,3.06
1987-11-01,0.51
1987-12-01,0.22
1988-01-01,0.47
1988-02-01,2.51
1988-03-01,1.69
1988-04-01,6.86
1988-05-01,2.01
1988-06-01,4.88
1988-07-01,7.53
1988-08-01,11.65
1988-09-01,11.96
1988-10-01,4.8
1988-11-01,0.13
1988-12-01,0.33
1989-01-01,0.94
1989-02-01,2.8
1989-03-01,4.33
1989-04-01,7.46
1989-05-01,1.16
1989-06-01,6.3
1989-07-01,9.83
1989-08-01,8.49
1989-09-01,6.09
1989-10-01,3.75
1989-11-01,1.16
1989-12-01,1.9
1990-01-01,0.51
1990-02-01,6.21
1990-03-01,2.43
1990-04-01,6.81
1990-05-01,2.21
1990-06-01,3.8
1990-07-01,6.79
1990-08-01,9.34
1990-09-01,5.83
1990-10-01,2.38
1990-11-01,0.34
1990-12-01,0.22
1991-01-01,0.67
1991-02-01,2.19
1991-03-01,3.03
1991-04-01,2.45
1991-05-01,3.83
1991-06-01,3.2
1991-07-01,9.23
1991-08-01,8.67
1991-09-01,6.02
1991-10-01,0.55
1991-11-01,0.32
1991-12-01,0.94
1992-01-01,1.26
1992-02-01,3.0
1992-03-01,1.49
1992-04-01,5.08
1992-05-01,2.97
1992-06-01,6.03
1992-07-01,7.27
1992-08-01,8.4
1992-09-01,3.25
1992-10-01,2.45
1992-11-01,0.69
1992-12-01,0.53
1993-01-01,2.18
1993-02-01,1.52
1993-03-01,1.32
1993-04-01,5.55
1993-05-01,5.86
1993-06-01,7.14
1993-07-01,8.02
1993-08-01,9.89
1993-09-01,4.74
1993-10-01,4.21
1993-11-01,0.17
1993-12-01,0.18
1994-01-01,0.0
1994-02-01,0.16
1994-03-01,2.52
1994-04-01,4.08
1994-05-01,3.45
1994-06-01,5.92
1994-07-01,9.2
1994-08-01,9.38
1994-09-01,5.49
1994-10-01,0.9
1994-11-01,0.71
1994-12-01,0.1
1995-01-01,0.05
1995-02-01,2.32
1995-03-01,2.83
1995-04-01,5.86
1995-05-01,2.64
1995-06-01,5.17
1995-07-01,7.32
1995-08-01,8.62
1995-09-01,5.76
1995-10-01,1.5
1995-11-01,0.25
1995-12-01,2.25
1996-01-01,1.33
1996-02-01,0.45
1996-03-01,5.94
1996-04-01,5.29
1996-05-01,6.24
1996-06-01,10.65
1996-07-01,9.3
1996-08-01,10.77
1996-09-01,8.8
1996-10-01,2.21
1996-11-01,1.1
1996-12-01,0.12
1997-01-01,1.15
1997-02-01,0.02
1997-03-01,1.68
1997-04-01,6.36
1997-05-01,3.93
1997-06-01,5.8
1997-07-01,6.45
1997-08-01,7.16
1997-09-01,4.12
1997-10-01,8.63
1997-11-01,2.57
1997-12-01,0.42
1998-01-01,1.78
1998-02-01,4.19
1998-03-01,1.05
1998-04-01,3.57
1998-05-01,4.25
1998-06-01,7.45
1998-07-01,10.81
1998-08-01,9.28
1998-09-01,6.62
1998-10-01,8.52
1998-11-01,1.02
1998-12-01,0.06
1999-01-01,0.85
1999-02-01,0.13
1999-03-01,3.28
1999-04-01,2.09
1999-05-01,3.74
1999-06-01,5.95
1999-07-01,8.11
1999-08-01,7.18
1999-09-01,4.51
1999-10-01,6.68
1999-11-01,0.16
1999-12-01,0.16
2000-01-01,0.02
2000-02-01,0.01
2000-03-01,0.22
2000-04-01,2.86
2000-05-01,2.64
2000-06-01,3.08
2000-07-01,4.5
2000-08-01,5.13
2000-09-01,2.84
2000-10-01,2.67
