date,rainfall_mm
1981-01-01,0.0
1981-02-01,0.84
1981-03-01,7.76
1981-04-01,7.11
1981-05-01,3.35
1981-06-01,2.94
1981-07-01,5.29
1981-08-01,7.14
1981-09-01,7.46
1981-10-01,1.09
1981-11-01,1.17
1981-12-01,0.28
1982-01-01,2.5
1982-02-01,2.55
1982-03-01,0.87
1982-04-01,5.22
1982-05-01,8.68
1982-06-01,3.39
1982-07-01,2.7
1982-08-01,4.27
1982-09-01,5.17
1982-10-01,5.18
1982-11-01,4.54
1982-12-01,1.34
1983-01-01,0.74
1983-02-01,1.81
1983-03-01,1.67
1983-04-01,5.9
1983-05-01,7.98
1983-06-01,3.71
1983-07-01,6.18
1983-08-01,9.44
1983-09-01,7.81
1983-10-01,5.8
1983-11-01,1.73
1983-12-01,0.23
1984-01-01,0.24
1984-02-01,0.27
1984-03-01,0.56
1984-04-01,1.53
1984-05-01,7.81
1984-06-01,3.23
1984-07-01,4.92
1984-08-01,6.0
1984-09-01,4.94
1984-10-01,3.02
1984-11-01,1.4
1984-12-01,0.76
1985-01-01,0.7
1985-02-01,0.18
1985-03-01,1.97
1985-04-01,8.78
1985-05-01,5.22
1985-06-01,6.05
1985-07-01,3.96
1985-08-01,4.52
1985-09-01,5.55
1985-10-01,3.11
1985-11-01,1.18
1985-12-01,0.44
1986-01-01,0.0
1986-02-01,0.5
1986-03-01,0.8
1986-04-01,9.48
1986-05-01,6.31
1986-06-01,9.61
1986-07-01,3.95
1986-08-01,7.29
1986-09-01,8.52
1986-10-01,3.1
1986-11-01,1.57
1986-12-01,0.81
1987-01-01,0.51
1987-02-01,1.93
1987-03-01,7.91
1987-04-01,3.86
1987-05-01,13.5
1987-06-01,7.92
1987-07-01,4.22
1987-08-01,4.1
1987-09-01,4.42
1987-10-01,3.77
1987-11-01,2.23
1987-12-01,0.26
1988-01-01,0.62
1988-02-01,1.96
1988-03-01,2.17
1988-04-01,12.73
1988-05-01,4.18
1988-06-01,3.84
1988-07-01,3.65
1988-08-01,6.38
1988-09-01,10.66
1988-10-01,7.41
1988-11-01,0.51
1988-12-01,0.92
1989-01-01,1.22
1989-02-01,1.78
1989-03-01,4.14
1989-04-01,8.88
1989-05-01,3.37
1989-06-01,5.4
1989-07-01,5.71
1989-08-01,4.36
1989-09-01,6.61
1989-10-01,4.37
1989-11-01,2.42
1989-12-01,2.26
1990-01-01,0.94
1990-02-01,4.27
1990-03-01,3.3
1990-04-01,10.06
1990-05-01,4.26
1990-06-01,2.33
1990-07-01,3.3
1990-08-01,4.88
1990-09-01,4.0
1990-10-01,2.75
1990-11-01,1.23
1990-12-01,0.77
1991-01-01,1.43
1991-02-01,1.65
1991-03-01,3.24
1991-04-01,3.12
1991-05-01,5.74
1991-06-01,2.83
1991-07-01,4.55
1991-08-01,6.01
1991-09-01,5.23
1991-10-01,1.39
1991-11-01,0.78
1991-12-01,1.69
1992-01-01,0.87
1992-02-01,2.49
1992-03-01,1.78
1992-04-01,6.09
1992-05-01,4.18
1992-06-01,4.63
1992-07-01,4.57
1992-08-01,4.16
1992-09-01,2.48
1992-10-01,3.7
1992-11-01,1.11
1992-12-01,1.29
1993-01-01,2.71
1993-02-01,1.87
1993-03-01,1.35
1993-04-01,5.14
1993-05-01,7.85
1993-06-01,5.35
1993-07-01,3.07
1993-08-01,5.63
1993-09-01,2.67
1993-10-01,5.1
1993-11-01,0.56
1993-12-01,0.25
1994-01-01,0.01
1994-02-01,0.15
1994-03-01,1.84
1994-04-01,6.88
1994-05-01,5.39
1994-06-01,4.96
1994-07-01,5.0
1994-08-01,5.5
1994-09-01,3.34
1994-10-01,2.82
1994-11-01,2.46
1994-12-01,0.36
1995-01-01,0.02
1995-02-01,1.76
1995-03-01,3.43
1995-04-01,7.7
1995-05-01,3.46
1995-06-01,4.12
1995-07-01,5.44
1995-08-01,4.01
1995-09-01,6.54
1995-10-01,3.06
1995-11-01,0.74
1995-12-01,1.23
1996-01-01,1.21
1996-02-01,0.63
1996-03-01,6.09
1996-04-01,7.11
1996-05-01,5.48
1996-06-01,10.68
1996-07-01,5.27
1996-08-01,5.5
1996-09-01,7.17
1996-10-01,3.91
1996-11-01,1.83
1996-12-01,0.26
1997-01-01,0.44
1997-02-01,0.03
1997-03-01,1.6
1997-04-01,11.78
1997-05-01,5.4
1997-06-01,3.75
1997-07-01,3.85
1997-08-01,3.66
1997-09-01,3.0
1997-10-01,10.49
1997-11-01,5.57
1997-12-01,1.2
1998-01-01,2.41
1998-02-01,3.5
1998-03-01,0.96
1998-04-01,5.17
1998-05-01,7.0
1998-06-01,4.71
1998-07-01,4.91
1998-08-01,4.76
1998-09-01,3.99
1998-10-01,7.85
1998-11-01,1.95
1998-12-01,0.15
1999-01-01,0.5
1999-02-01,0.27
1999-03-01,5.46
1999-04-01,3.26
1999-05-01,3.52
1999-06-01,2.72
1999-07-01,4.23
1999-08-01,4.43
1999-09-01,4.26
1999-10-01,6.93
1999-11-01,0.81
1999-12-01,0.51
2000-01-01,0.03
2000-02-01,0.01
2000-03-01,0.26
2000-04-01,3.69
2000-05-01,3.67
2000-06-01,0.92
2000-07-01,1.45
2000-08-01,2.38
2000-09-01,3.12
2000-10-01,5.22
2000-11-01,0.89
2000-12-01,0.75
2001-01-01,0.54
2001-02-01,0.59
2001-03-01,5.09
2001-04-01,4.68
2001-05-01,7.81
2001-06-01,2.42
2001-07-01,1.7
2001-08-01,2.26
2001-09-01,1.91
2001-10-01,3.84
2001-11-01,1.7
2001-12-01,0.28
2002-01-01,0.87
2002-02-01,0.04
2002-03-01,3.92
2002-04-01,3.75
2002-05-01,4.93
2002-06-01,2.42
2002-07-01,1.44
2002-08-01,2.64
2002-09-01,2.73
2002-10-01,2.87
2002-11-01,0.69
2002-12-01,2.0
2003-01-01,0.32
2003-02-01,0.26
2003-03-01,2.22
2003-04-01,5.29
2003-05-01,2.5
2003-06-01,2.9
2003-07-01,1.98
2003-08-01,2.97
2003-09-01,1.97
2003-10-01,0.95
2003-11-01,3.02
2003-12-01,2.01
2004-01-01,0.64
2004-02-01,1.65
2004-03-01,0.71
2004-04-01,3.31
2004-05-01,1.04
2004-06-01,0.96
2004-07-01,2.49
2004-08-01,1.31
2004-09-01,2.59
2004-10-01,2.13
2004-11-01,2.8
2004-12-01,1.18
2005-01-01,1.18
2005-02-01,0.6
2005-03-01,2.58
2005-04-01,6.34
2005-05-01,10.61
2005-06-01,0.74
2005-07-01,1.26
2005-08-01,1.7
2005-09-01,2.09
2005-10-01,1.99
2005-11-01,1.32
2005-12-01,0.04
2006-01-01,0.52
2006-02-01,2.51
2006-03-01,5.15
2006-04-01,9.25
2006-05-01,5.72
2006-06-01,3.94
2006-07-01,5.76
2006-08-01,4.34
2006-09-01,5.24
2006-10-01,5.4
2006-11-01,2.1
2006-12-01,2.05
2007-01-01,1.36
2007-02-01,2.11
2007-03-01,2.18
2007-04-01,6.92
2007-05-01,9.71
2007-06-01,3.32
2007-07-01,3.98
2007-08-01,6.35
2007-09-01,6.96
2007-10-01,3.16
2007-11-01,2.33
2007-12-01,0.0
2008-01-01,0.44
2008-02-01,0.31
2008-03-01,1.23
2008-04-01,6.06
2008-05-01,1.89
2008-06-01,2.25
2008-07-01,4.26
2008-08-01,5.36
2008-09-01,6.77
2008-10-01,7.08
2008-11-01,4.22
2008-12-01,0.09
2009-01-01,2.01
2009-02-01,0.23
2009-03-01,1.16
2009-04-01,6.06
2009-05-01,6.05
2009-06-01,2.4
2009-07-01,4.55
2009-08-01,2.57
2009-09-01,4.47
2009-10-01,5.49
2009-11-01,1.08
2009-12-01,2.7
2010-01-01,0.32
2010-02-01,4.75
2010-03-01,4.98
2010-04-01,9.12
2010-05-01,9.11
2010-06-01,5.23
2010-07-01,4.05
2010-08-01,4.77
2010-09-01,3.84
2010-10-01,3.35
2010-11-01,0.77
2010-12-01,0.2
2011-01-01,0.1
2011-02-01,0.32
2011-03-01,1.03
2011-04-01,3.17
2011-05-01,8.47
2011-06-01,3.04
2011-07-01,2.57
2011-08-01,1.0
2011-09-01,2.62
2011-10-01,2.84
2011-11-01,7.57
2011-12-01,0.37
2012-01-01,0.0
2012-02-01,0.09
2012-03-01,0.27
2012-04-01,12.65
2012-05-01,5.51
2012-06-01,1.83
2012-07-01,3.75
2012-08-01,14.41
2012-09-01,6.42
2012-10-01,3.99
2012-11-01,2.26
2012-12-01,1.07
2013-01-01,0.36
2013-02-01,0.16
2013-03-01,5.3
2013-04-01,14.08
2013-05-01,7.94
2013-06-01,6.67
2013-07-01,6.22
2013-08-01,4.9
2013-09-01,4.23
2013-10-01,9.02
