date,rainfall_mm
1981-01-01,0.01
1981-02-01,0.6
1981-03-01,8.34
1981-04-01,8.95
1981-05-01,6.32
1981-06-01,1.71
1981-07-01,4.95
1981-08-01,5.88
1981-09-01,6.43
1981-10-01,2.64
1981-11-01,0.94
1981-12-01,0.7
1982-01-01,2.15
1982-02-01,2.22
1982-03-01,1.6
1982-04-01,7.84
1982-05-01,10.89
1982-06-01,4.97
1982-07-01,2.45
1982-08-01,4.99
1982-09-01,5.33
1982-10-01,3.89
1982-11-01,5.03
1982-12-01,2.08
1983-01-01,0.53
1983-02-01,1.22
1983-03-01,1.79
1983-04-01,7.46
1983-05-01,7.13
1983-06-01,4.68
1983-07-01,4.48
1983-08-01,8.88
1983-09-01,5.57
1983-10-01,7.46
1983-11-01,1.84
1983-12-01,0.48
1984-01-01,0.37
1984-02-01,0.4
1984-03-01,1.12
1984-04-01,4.06
1984-05-01,7.63
1984-06-01,2.62
1984-07-01,4.37
1984-08-01,7.04
1984-09-01,5.2
1984-10-01,1.69
1984-11-01,1.4
1984-12-01,1.07
1985-01-01,1.32
1985-02-01,0.96
1985-03-01,4.47
1985-04-01,10.1
1985-05-01,8.2
1985-06-01,4.17
1985-07-01,4.13
1985-08-01,5.1
1985-09-01,6.21
1985-10-01,2.29
1985-11-01,1.36
1985-12-01,0.65
1986-01-01,0.03
1986-02-01,1.94
1986-03-01,2.36
1986-04-01,9.3
1986-05-01,5.76
1986-06-01,8.22
1986-07-01,4.66
1986-08-01,7.21
1986-09-01,6.47
1986-10-01,3.3
1986-11-01,1.23
1986-12-01,1.46
1987-01-01,0.58
1987-02-01,2.58
1987-03-01,5.86
1987-04-01,7.4
1987-05-01,12.9
1987-06-01,8.09
1987-07-01,4.75
1987-08-01,3.09
1987-09-01,6.82
1987-10-01,4.09
1987-11-01,2.02
1987-12-01,0.62
1988-01-01,1.17
1988-02-01,2.78
1988-03-01,1.33
1988-04-01,10.47
1988-05-01,5.57
1988-06-01,3.26
1988-07-01,3.88
1988-08-01,5.94
1988-09-01,8.12
1988-10-01,7.04
1988-11-01,0.76
1988-12-01,0.7
1989-01-01,1.33
