date,rainfall_mm
1981-01-01,0.0
1981-02-01,0.16
1981-03-01,5.1
1981-04-01,16.2
1981-05-01,1.94
1981-06-01,0.14
1981-07-01,0.22
1981-08-01,0.5
1981-09-01,1.4
1981-10-01,1.56
1981-11-01,0.76
1981-12-01,0.14
1982-01-01,0.11
1982-02-01,0.09
1982-03-01,0.37
1982-04-01,1.96
1982-05-01,4.27
1982-06-01,0.31
1982-07-01,0.16
1982-08-01,0.36
1982-09-01,0.85
1982-10-01,3.41
1982-11-01,1.58
1982-12-01,0.47
1983-01-01,0.21
1983-02-01,0.54
1983-03-01,0.02
1983-04-01,4.68
1983-05-01,8.06
1983-06-01,0.23
1983-07-01,0.46
1983-08-01,0.64
1983-09-01,1.89
1983-10-01,2.53
1983-11-01,0.49
1983-12-01,0.01
1984-01-01,0.0
1984-02-01,0.03
1984-03-01,0.01
1984-04-01,0.98
1984-05-01,2.6
1984-06-01,0.17
1984-07-01,0.31
1984-08-01,0.92
1984-09-01,1.35
1984-10-01,1.62
1984-11-01,0.24
1984-12-01,0.38
1985-01-01,0.0
1985-02-01,0.0
1985-03-01,3.09
1985-04-01,3.79
1985-05-01,1.8
1985-06-01,0.45
1985-07-01,0.19
1985-08-01,0.55
1985-09-01,0.89
1985-10-01,1.0
1985-11-01,0.83
1985-12-01,0.0
1986-01-01,0.0
1986-02-01,0.27
1986-03-01,0.08
1986-04-01,3.91
1986-05-01,2.43
1986-06-01,0.68
1986-07-01,0.26
1986-08-01,1.87
1986-09-01,3.42
1986-10-01,4.06
1986-11-01,0.78
1986-12-01,0.11
1987-01-01,0.01
1987-02-01,0.01
1987-03-01,4.17
1987-04-01,6.34
1987-05-01,7.83
1987-06-01,1.26
1987-07-01,1.85
1987-08-01,0.22
1987-09-01,1.28
1987-10-01,1.84
1987-11-01,0.36
1987-12-01,0.04
1988-01-01,0.11
1988-02-01,0.03
1988-03-01,0.01
1988-04-01,3.92
1988-05-01,0.73
1988-06-01,0.52
1988-07-01,0.23
1988-08-01,1.18
1988-09-01,3.34
1988-10-01,4.93
1988-11-01,0.18
1988-12-01,0.08
1989-01-01,0.04
1989-02-01,0.8
1989-03-01,2.21
1989-04-01,7.98
1989-05-01,2.22
1989-06-01,0.57
1989-07-01,0.32
1989-08-01,0.38
1989-09-01,2.42
1989-10-01,4.38
1989-11-01,0.32
1989-12-01,0.37
1990-01-01,0.18
1990-02-01,0.64
1990-03-01,1.2
1990-04-01,6.88
1990-05-01,0.46
1990-06-01,0.47
1990-07-01,0.23
1990-08-01,0.95
1990-09-01,1.94
1990-10-01,2.84
1990-11-01,0.33
1990-12-01,0.47
1991-01-01,0.1
1991-02-01,1.15
1991-03-01,2.96
1991-04-01,4.73
1991-05-01,2.35
1991-06-01,0.13
1991-07-01,0.73
1991-08-01,0.54
1991-09-01,1.15
1991-10-01,0.75
1991-11-01,0.32
1991-12-01,0.92
1992-01-01,0.26
1992-02-01,0.42
1992-03-01,0.61
1992-04-01,4.26
1992-05-01,1.95
1992-06-01,1.3
1992-07-01,0.24
1992-08-01,0.86
1992-09-01,0.99
1992-10-01,0.69
1992-11-01,1.48
1992-12-01,0.61
1993-01-01,0.85
1993-02-01,0.1
1993-03-01,0.1
1993-04-01,5.25
1993-05-01,7.92
1993-06-01,1.33
1993-07-01,0.44
1993-08-01,0.65
1993-09-01,0.75
1993-10-01,2.7
1993-11-01,0.27
1993-12-01,0.08
1994-01-01,0.0
1994-02-01,0.0
1994-03-01,0.22
1994-04-01,3.96
1994-05-01,3.95
1994-06-01,0.3
