date,rainfall_mm
1981-01-01,0.16
1981-02-01,0.96
1981-03-01,11.75
1981-04-01,14.58
1981-05-01,10.54
1981-06-01,3.16
1981-07-01,6.4
1981-08-01,8.24
1981-09-01,8.41
1981-10-01,6.05
1981-11-01,4.78
1981-12-01,0.89
1982-01-01,7.17
1982-02-01,3.92
1982-03-01,2.66
1982-04-01,15.62
1982-05-01,9.97
1982-06-01,6.29
1982-07-01,4.37
1982-08-01,7.89
1982-09-01,7.89
1982-10-01,14.6
1982-11-01,5.87
1982-12-01,4.98
1983-01-01,1.04
1983-02-01,2.7
1983-03-01,4.3
1983-04-01,11.28
1983-05-01,11.46
1983-06-01,5.55
1983-07-01,7.41
1983-08-01,9.89
1983-09-01,5.61
1983-10-01,9.25
1983-11-01,3.9
1983-12-01,0.41
1984-01-01,0.52
1984-02-01,0.52
1984-03-01,2.75
1984-04-01,12.7
1984-05-01,7.24
1984-06-01,3.28
1984-07-01,4.11
1984-08-01,6.12
1984-09-01,4.74
1984-10-01,2.01
1984-11-01,5.48
1984-12-01,2.76
1985-01-01,2.17
1985-02-01,1.43
1985-03-01,7.49
1985-04-01,12.85
1985-05-01,11.47
1985-06-01,4.83
1985-07-01,5.48
1985-08-01,7.75
1985-09-01,7.11
1985-10-01,2.85
1985-11-01,3.26
1985-12-01,1.48
1986-01-01,0.07
1986-02-01,2.45
1986-03-01,6.5
1986-04-01,10.58
1986-05-01,6.38
1986-06-01,8.53
1986-07-01,8.83
1986-08-01,7.2
1986-09-01,6.72
1986-10-01,4.04
1986-11-01,2.51
1986-12-01,3.87
1987-01-01,0.65
1987-02-01,4.65
1987-03-01,8.41
1987-04-01,10.6
1987-05-01,12.5
1987-06-01,13.23
1987-07-01,5.33
1987-08-01,5.99
1987-09-01,6.34
1987-10-01,4.55
1987-11-01,3.38
1987-12-01,1.5
1988-01-01,2.61
1988-02-01,5.23
1988-03-01,1.66
1988-04-01,9.24
1988-05-01,7.66
1988-06-01,4.42
1988-07-01,6.41
1988-08-01,10.81
1988-09-01,8.83
1988-10-01,9.94
1988-11-01,2.21
1988-12-01,1.41
