date,rainfall_mm
1981-01-01,0.01
1981-02-01,0.0
1981-03-01,0.65
1981-04-01,2.39
1981-05-01,1.16
1981-06-01,0.63
1981-07-01,7.5
1981-08-01,9.94
1981-09-01,3.53
1981-10-01,0.73
1981-11-01,0.13
1981-12-01,0.13
1982-01-01,1.46
1982-02-01,0.08
1982-03-01,0.6
1982-04-01,0.97
1982-05-01,1.45
1982-06-01,2.82
1982-07-01,2.87
1982-08-01,3.96
1982-09-01,1.82
1982-10-01,2.28
1982-11-01,0.25
1982-12-01,1.73
1983-01-01,0.35
1983-02-01,0.6
1983-03-01,0.24
1983-04-01,0.41
1983-05-01,4.19
1983-06-01,1.44
1983-07-01,4.64
1983-08-01,10.19
1983-09-01,3.68
1983-10-01,0.72
1983-11-01,0.46
1983-12-01,0.0
1984-01-01,0.02
1984-02-01,0.0
1984-03-01,0.36
1984-04-01,0.42
1984-05-01,0.62
1984-06-01,2.0
1984-07-01,5.73
1984-08-01,5.52
1984-09-01,0.96
1984-10-01,0.03
1984-11-01,0.07
1984-12-01,0.34
1985-01-01,0.06
1985-02-01,0.02
1985-03-01,0.71
1985-04-01,2.18
1985-05-01,1.97
1985-06-01,2.08
1985-07-01,6.52
1985-08-01,5.69
1985-09-01,3.96
1985-10-01,0.24
1985-11-01,0.46
1985-12-01,0.12
1986-01-01,0.0
1986-02-01,0.09
1986-03-01,0.56
1986-04-01,1.55
1986-05-01,1.08
1986-06-01,5.53
1986-07-01,10.53
1986-08-01,16.09
1986-09-01,4.25
1986-10-01,0.97
1986-11-01,0.0
1986-12-01,0.08
1987-01-01,0.0
1987-02-01,0.74
1987-03-01,3.83
1987-04-01,0.98
1987-05-01,8.23
1987-06-01,6.67
1987-07-01,7.7
1987-08-01,9.71
1987-09-01,2.46
1987-10-01,1.16
1987-11-01,0.04
1987-12-01,0.06
1988-01-01,0.04
1988-02-01,0.73
1988-03-01,0.11
1988-04-01,0.02
1988-05-01,0.41
1988-06-01,2.91
1988-07-01,8.12
1988-08-01,12.95
1988-09-01,2.66
1988-10-01,1.25
1988-11-01,0.13
1988-12-01,0.0
1989-01-01,0.02
1989-02-01,0.16
1989-03-01,0.84
1989-04-01,1.2
1989-05-01,0.18
1989-06-01,2.87
1989-07-01,5.11
1989-08-01,7.59
1989-09-01,5.13
1989-10-01,0.54
1989-11-01,0.01
1989-12-01,0.29
1990-01-01,0.14
1990-02-01,0.37
1990-03-01,0.34
1990-04-01,0.09
1990-05-01,0.06
1990-06-01,0.29
1990-07-01,4.56
1990-08-01,3.99
1990-09-01,3.12
1990-10-01,0.09
1990-11-01,0.01
1990-12-01,0.0
1991-01-01,0.02
1991-02-01,0.03
1991-03-01,1.09
1991-04-01,0.29
1991-05-01,0.59
1991-06-01,0.14
1991-07-01,7.4
1991-08-01,8.91
1991-09-01,1.98
1991-10-01,2.53
1991-11-01,0.03
1991-12-01,0.01
1992-01-01,0.06
1992-02-01,0.07
1992-03-01,0.17
1992-04-01,0.78
1992-05-01,1.6
1992-06-01,2.5
1992-07-01,5.58
1992-08-01,7.26
1992-09-01,1.4
1992-10-01,0.46
1992-11-01,0.0
1992-12-01,0.0
1993-01-01,0.0
1993-02-01,0.0
1993-03-01,0.0
1993-04-01,1.27
1993-05-01,2.8
1993-06-01,3.43
1993-07-01,8.49
1993-08-01,6.24
1993-09-01,3.22
1993-10-01,1.67
1993-11-01,0.08
1993-12-01,0.0
1994-01-01,0.0
1994-02-01,0.1
1994-03-01,0.05
1994-04-01,1.73
1994-05-01,0.8
1994-06-01,2.27
1994-07-01,7.02
1994-08-01,10.44
1994-09-01,3.95
1994-10-01,0.28
1994-11-01,0.47
1994-12-01,0.06
1995-01-01,0.0
1995-02-01,0.01
1995-03-01,0.61
1995-04-01,0.83
1995-05-01,2.49
1995-06-01,2.43
1995-07-01,11.87
1995-08-01,9.12
1995-09-01,3.13
1995-10-01,0.1
1995-11-01,0.02
1995-12-01,0.15
1996-01-01,0.05
1996-02-01,0.08
1996-03-01,1.66
1996-04-01,1.37
1996-05-01,2.03
1996-06-01,1.87
1996-07-01,6.59
1996-08-01,8.79
1996-09-01,1.76
1996-10-01,0.71
1996-11-01,1.07
1996-12-01,0.01
1997-01-01,0.02
1997-02-01,0.01
1997-03-01,0.8
1997-04-01,1.39
1997-05-01,1.34
1997-06-01,3.11
1997-07-01,9.1
1997-08-01,6.75
1997-09-01,0.68
1997-10-01,2.49
1997-11-01,0.9
1997-12-01,0.02
1998-01-01,0.18
1998-02-01,0.04
1998-03-01,0.08
1998-04-01,0.33
1998-05-01,1.47
1998-06-01,3.73
1998-07-01,8.68
1998-08-01,9.9
1998-09-01,2.05
1998-10-01,1.23
1998-11-01,0.06
1998-12-01,0.0
1999-01-01,0.34
1999-02-01,0.01
1999-03-01,3.49
1999-04-01,0.37
1999-05-01,1.26
1999-06-01,2.09
1999-07-01,12.42
1999-08-01,14.34
1999-09-01,2.78
1999-10-01,2.44
1999-11-01,0.09
1999-12-01,0.13
2000-01-01,0.0
2000-02-01,0.01
2000-03-01,0.07
2000-04-01,0.14
2000-05-01,0.19
2000-06-01,0.94
2000-07-01,2.4
2000-08-01,2.56
2000-09-01,1.51
2000-10-01,0.17
2000-11-01,0.01
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.52
2001-05-01,1.17
2001-06-01,1.54
2001-07-01,1.69
2001-08-01,2.55
2001-09-01,2.1
2001-10-01,1.17
2001-11-01,0.19
2001-12-01,0.23
2002-01-01,0.03
2002-02-01,0.05
2002-03-01,0.69
2002-04-01,0.09
2002-05-01,0.08
2002-06-01,1.07
2002-07-01,3.71
2002-08-01,3.18
2002-09-01,0.73
2002-10-01,0.41
2002-11-01,0.03
2002-12-01,0.01
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.07
2003-04-01,0.03
2003-05-01,0.14
2003-06-01,1.25
2003-07-01,4.28
2003-08-01,2.61
2003-09-01,1.37
2003-10-01,0.08
2003-11-01,0.0
2003-12-01,0.3
2004-01-01,0.0
2004-02-01,0.05
2004-03-01,0.13
2004-04-01,0.6
2004-05-01,0.17
2004-06-01,1.53
2004-07-01,1.49
2004-08-01,1.91
2004-09-01,1.13
2004-10-01,0.24
2004-11-01,0.03
2004-12-01,0.09
2005-01-01,0.04
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.42
2005-05-01,1.43
2005-06-01,0.72
2005-07-01,2.94
2005-08-01,3.88
2005-09-01,1.9
2005-10-01,0.1
2005-11-01,0.01
2005-12-01,0.0
2006-01-01,0.01
2006-02-01,0.01
2006-03-01,0.59
2006-04-01,2.08
2006-05-01,2.66
2006-06-01,1.78
2006-07-01,8.77
2006-08-01,9.46
2006-09-01,3.98
2006-10-01,1.33
2006-11-01,0.1
2006-12-01,0.05
2007-01-01,0.05
2007-02-01,0.07
2007-03-01,0.02
2007-04-01,1.32
2007-05-01,2.17
2007-06-01,1.51
2007-07-01,9.36
2007-08-01,6.19
2007-09-01,2.39
2007-10-01,0.59
2007-11-01,0.05
2007-12-01,0.0
2008-01-01,0.13
2008-02-01,0.0
2008-03-01,0.03
2008-04-01,1.76
2008-05-01,0.62
2008-06-01,1.36
2008-07-01,5.12
2008-08-01,6.65
2008-09-01,2.12
2008-10-01,0.15
2008-11-01,0.21
2008-12-01,0.0
2009-01-01,0.01
2009-02-01,0.16
2009-03-01,0.05
2009-04-01,0.12
2009-05-01,0.05
2009-06-01,3.59
2009-07-01,9.52
2009-08-01,6.85
2009-09-01,1.53
2009-10-01,0.89
2009-11-01,0.03
2009-12-01,0.04
2010-01-01,0.0
2010-02-01,0.01
2010-03-01,0.43
2010-04-01,1.11
2010-05-01,0.92
2010-06-01,1.63
2010-07-01,8.37
2010-08-01,13.14
2010-09-01,3.18
2010-10-01,0.17
2010-11-01,0.07
2010-12-01,0.0
2011-01-01,0.02
2011-02-01,0.02
2011-03-01,0.52
2011-04-01,0.14
2011-05-01,2.7
2011-06-01,0.26
2011-07-01,2.35
2011-08-01,2.31
2011-09-01,0.78
2011-10-01,0.36
2011-11-01,0.38
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.01
2012-04-01,0.07
2012-05-01,0.04
2012-06-01,0.76
2012-07-01,4.8
2012-08-01,4.2
2012-09-01,1.59
2012-10-01,0.31
2012-11-01,0.41
2012-12-01,0.06
2013-01-01,0.01
2013-02-01,0.0
2013-03-01,0.13
2013-04-01,0.34
2013-05-01,0.8
2013-06-01,1.06
2013-07-01,6.42
2013-08-01,13.23
2013-09-01,2.25
2013-10-01,2.25
2013-11-01,0.39
2013-12-01,0.0
2014-01-01,0.02
2014-02-01,0.2
2014-03-01,1.19
2014-04-01,1.31
2014-05-01,2.76
2014-06-01,1.27
2014-07-01,9.23
2014-08-01,8.79
2014-09-01,4.44
2014-10-01,0.83
2014-11-01,0.09
2014-12-01,0.01
2015-01-01,0.03
2015-02-01,0.0
2015-03-01,0.05
2015-04-01,0.0
2015-05-01,0.54
2015-06-01,2.2
2015-07-01,4.11
2015-08-01,7.21
2015-09-01,0.25
2015-10-01,0.65
2015-11-01,0.14
2015-12-01,0.71
2016-01-01,0.02
2016-02-01,0.01
2016-03-01,0.81
2016-04-01,1.26
2016-05-01,2.71
2016-06-01,1.6
2016-07-01,13.09
2016-08-01,11.02
2016-09-01,1.95
2016-10-01,0.5
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,0.6
2017-03-01,0.03
2017-04-01,1.62
2017-05-01,1.9
2017-06-01,2.0
2017-07-01,3.53
2017-08-01,7.99
2017-09-01,0.9
2017-10-01,0.3
2017-11-01,0.06
2017-12-01,0.0
2018-01-01,0.08
2018-02-01,0.15
2018-03-01,0.07
2018-04-01,0.55
2018-05-01,0.12
2018-06-01,0.19
2018-07-01,4.42
2018-08-01,5.16
2018-09-01,1.94
2018-10-01,0.71
2018-11-01,0.58
2018-12-01,0.03
2019-01-01,0.0
2019-02-01,1.07
2019-03-01,0.27
2019-04-01,0.55
2019-05-01,0.04
2019-06-01,0.23
2019-07-01,0.01
2019-08-01,5.46
2019-09-01,5.0
2019-10-01,2.72
2019-11-01,0.52
2019-12-01,0.24
2020-01-01,0.17
2020-02-01,0.02
2020-03-01,0.05
2020-04-01,1.19
2020-05-01,1.39
2020-06-01,1.98
2020-07-01,7.09
2020-08-01,11.8
2020-09-01,4.01
2020-10-01,0.4
2020-11-01,0.13
2020-12-01,0.0
2021-01-01,0.02
2021-02-01,0.24
2021-03-01,0.0
2021-04-01,0.63
2021-05-01,5.99
2021-06-01,3.14
2021-07-01,19.77
2021-08-01,13.68
2021-09-01,8.24
2021-10-01,0.85
2021-11-01,0.0
2021-12-01,1.06
2022-01-01,0.49
2022-02-01,0.08
2022-03-01,0.17
2022-04-01,1.4
2022-05-01,0.23
2022-06-01,6.85
2022-07-01,15.18
2022-08-01,7.35
2022-09-01,2.31
2022-10-01,1.08
2022-11-01,0.0
2022-12-01,0.13
2023-01-01,0.29
2023-02-01,0.03
2023-03-01,0.13
2023-04-01,2.42
2023-05-01,1.25
2023-06-01,6.07
2023-07-01,8.6
2023-08-01,7.52
2023-09-01,1.77
2023-10-01,3.82
2023-11-01,1.6
2023-12-01,0.0
2024-01-01,0.1
2024-02-01,0.0
2024-03-01,0.21
2024-04-01,0.25
2024-05-01,0.8
2024-06-01,6.35
2024-07-01,8.23
2024-08-01,12.8
2024-09-01,2.92
2024-10-01,0.56
2024-11-01,0.01
2024-12-01,0.0
