season,region,n_test,hss_lean,hss_ant,hss_aonly,hss_d,delta_ant,delta_aonly,delta_d_vs_b,delta_d_vs_c,lean_features,ant_features,d_features,hss_baseline,features_baseline,hss_amm2,features_amm2,hss_amm23,features_amm23,hss_amm_only,features_amm_only,delta_amm2_vs_base,delta_amm23_vs_base,delta_amm_only_vs_base,phase_f_choice,hss_phase_f,delta_phase_f_vs_base,pf_features
Kiremt,addis_ababa,27,-0.049,-0.092,-0.007,-0.049,-0.043,0.042,0.0,0.043,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,afar,27,0.071,0.013,-0.056,0.071,-0.058,-0.127,0.0,0.058,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,amhara,27,-0.043,0.044,0.241,0.044,0.087,0.284,0.087,0.0,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']",,,,,,,,,,,,,,,
Kiremt,benishangul_gumz,27,0.371,0.471,-0.019,0.471,0.1,-0.39,0.1,0.0,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'iod_lag1', 'belg_antecedent_anom_z']",,,,,,,,,,,,,,,
Kiremt,dire_dawa,27,0.024,-0.008,0.149,0.024,-0.032,0.125,0.0,0.032,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,gambela,27,-0.043,0.012,-0.218,0.012,0.055,-0.175,0.055,0.0,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']",,,,,,,,,,,,,,,
Kiremt,harari,27,0.024,0.102,0.065,0.102,0.078,0.041,0.078,0.0,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']",,,,,,,,,,,,,,,
Kiremt,oromia,27,-0.111,-0.118,-0.111,-0.111,-0.007,0.0,0.0,0.007,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,sidama,27,-0.13,-0.139,-0.076,-0.13,-0.01,0.054,0.0,0.01,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
Kiremt,snnpr,27,0.077,-0.012,0.344,0.077,-0.089,0.267,0.0,0.089,"['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1', 'belg_antecedent_anom_z']","['enso_lag1', 'enso_lag2', 'pdo_lag1', 'pdo_lag2', 'atlantic_lag1']",,,,,,,,,,,,,,,
