zone_key,season,baseline_mean,baseline_std,baseline_median,n_years
addisabeba,Belg,197.763,56.68296765099846,184.46499999999997,30
addisabeba,Kiremt,811.4573333333334,114.46363334335024,812.37,30
afarzone1,Belg,51.97233333333334,22.301469208340844,49.68,30
afarzone1,Kiremt,113.014,27.83738476123121,113.61500000000001,30
afarzone2,Belg,124.51933333333334,63.09140593605841,107.965,30
afarzone2,Kiremt,102.63266666666667,29.028602058508852,104.52,30
afarzone3,Belg,130.62433333333334,39.09671268334051,125.685,30
afarzone3,Kiremt,318.89733333333334,63.723810194833185,326.815,30
afarzone4,Belg,120.688,44.59508674034967,119.05,30
afarzone4,Kiremt,241.57366666666667,64.15242589459046,230.845,30
afarzone5,Belg,159.98533333333336,53.050176556197044,148.2,30
afarzone5,Kiremt,388.42533333333336,74.52572551594625,394.46500000000003,30
afder,Belg,180.04333333333335,56.523595703603,167.595,30
afder,Kiremt,13.020999999999999,3.736906659164816,12.25,30
agewawi,Belg,206.886,70.62895599417837,204.735,30
agewawi,Kiremt,1293.0336666666667,96.31250384263093,1272.5900000000001,30
agnuak,Belg,279.71299999999997,41.668261066965925,272.35,30
agnuak,Kiremt,673.4300000000001,90.42646030967887,669.01,30
alaba,Belg,317.022,65.89280047533843,307.52,30
alaba,Kiremt,505.7006666666667,60.6833748142815,498.62,30
alle,Belg,420.39666666666665,92.87513134843203,422.22,30
alle,Kiremt,291.3206666666667,87.47978162206213,278.735,30
amaro,Belg,445.70633333333336,92.19601324626649,426.765,30
amaro,Kiremt,261.706,68.5319675520244,250.7,30
argoba,Belg,229.14566666666667,73.31817028791576,223.11,30
argoba,Kiremt,575.9126666666667,115.23238424527446,569.86,30
arsi,Belg,286.27233333333334,68.09840970766237,268.15,30
arsi,Kiremt,540.8683333333333,80.94600929795345,554.415,30
asosa,Belg,210.29833333333332,52.671701299807005,207.755,30
asosa,Kiremt,848.1263333333334,72.31891112829075,855.9549999999999,30
bahirdarspecialzone,Belg,137.52533333333335,60.000445385320106,126.16499999999999,30
bahirdarspecialzone,Kiremt,1104.4583333333333,96.41653861146487,1103.0149999999999,30
bale,Belg,370.4346666666667,87.35193599628374,359.055,30
bale,Kiremt,151.95733333333334,26.509780099418787,140.34,30
basketo,Belg,671.535,120.59071473805305,656.4300000000001,30
basketo,Kiremt,651.1023333333334,140.92691024889055,649.175,30
benchmaji,Belg,491.1053333333333,71.11369181583925,482.4,30
benchmaji,Kiremt,614.819,141.5702435944055,609.9749999999999,30
borena,Belg,323.628,89.8850951704069,319.325,30
borena,Kiremt,74.67233333333334,20.976261243298968,68.82499999999999,30
burji,Belg,419.45233333333334,107.2316995618345,389.25,30
burji,Kiremt,202.94,60.35329114244008,192.59,30
dawro,Belg,585.3573333333334,118.37786625982868,597.5,30
dawro,Kiremt,819.2833333333333,104.62165844648015,789.7349999999999,30
debubawi,Belg,100.01433333333333,37.27258830823802,97.445,30
