region,season,cv_accuracy,cv_hss,train_accuracy,n_samples
addis_ababa,Kiremt,0.333,0.039,0.405,42
addis_ababa,Belg,0.405,0.091,0.476,42
afar,Kiremt,0.595,0.393,0.643,42
afar,Belg,0.524,0.283,0.571,42
amhara,Kiremt,0.5,0.249,0.643,42
amhara,Belg,0.5,0.219,0.548,42
benishangul_gumz,Kiremt,0.571,0.351,0.69,42
benishangul_gumz,Belg,0.357,0.032,0.476,42
dire_dawa,Kiremt,0.381,0.097,0.452,42
dire_dawa,Belg,0.381,0.068,0.548,42
gambela,Kiremt,0.31,-0.012,0.476,42
gambela,Belg,0.262,-0.097,0.452,42
harari,Kiremt,0.429,0.16,0.595,42
harari,Belg,0.381,0.068,0.548,42
oromia,Kiremt,0.476,0.227,0.524,42
oromia,Belg,0.143,-0.266,0.357,42
sidama,Kiremt,0.31,-0.007,0.429,42
sidama,Belg,0.333,-0.002,0.452,42
snnpr,Kiremt,0.333,-0.005,0.476,42
snnpr,Belg,0.357,0.001,0.452,42
somali,Kiremt,0.381,0.099,0.5,42
somali,Belg,0.357,0.018,0.476,42
south_west,Kiremt,0.452,0.207,0.476,42
south_west,Belg,0.476,0.222,0.524,42
tigray,Kiremt,0.381,0.099,0.548,42
tigray,Belg,0.429,0.12,0.548,42
