zone_key,zone_display,region_key,season,cv_accuracy,cv_hss,train_accuracy,n_samples
addisabeba,AddisAbeba,addisabeba,Kiremt,0.537,0.291,0.683,41
addisabeba,AddisAbeba,addisabeba,Belg,0.244,-0.126,0.488,41
afarzone1,AfarZone1,afar,Kiremt,0.683,0.52,0.756,41
afarzone1,AfarZone1,afar,Belg,0.39,0.071,0.537,41
afarzone2,AfarZone2,afar,Kiremt,0.585,0.379,0.756,41
afarzone2,AfarZone2,afar,Belg,0.341,0.004,0.61,41
afarzone3,AfarZone3,afar,Kiremt,0.415,0.121,0.683,41
afarzone3,AfarZone3,afar,Belg,0.463,0.202,0.585,41
afarzone4,AfarZone4,afar,Kiremt,0.537,0.304,0.805,41
afarzone4,AfarZone4,afar,Belg,0.415,0.113,0.634,41
afarzone5,AfarZone5,afar,Kiremt,0.488,0.23,0.634,41
afarzone5,AfarZone5,afar,Belg,0.439,0.19,0.537,41
afder,Afder,somali,Kiremt,0.366,0.001,0.634,41
afder,Afder,somali,Belg,0.415,0.084,0.537,41
agewawi,AgewAwi,amhara,Kiremt,0.415,0.094,0.61,41
agewawi,AgewAwi,amhara,Belg,0.317,-0.031,0.512,41
agnuak,Agnuak,gambelapeoples,Kiremt,0.366,0.047,0.585,41
agnuak,Agnuak,gambelapeoples,Belg,0.39,0.083,0.512,41
alaba,Alaba,southernnationsnationalities,Kiremt,0.293,-0.066,0.634,41
alaba,Alaba,southernnationsnationalities,Belg,0.268,-0.107,0.61,41
alle,Alle,southernnationsnationalities,Kiremt,0.561,0.325,0.732,41
alle,Alle,southernnationsnationalities,Belg,0.317,-0.013,0.61,41
amaro,Amaro,southernnationsnationalities,Kiremt,0.366,0.058,0.561,41
amaro,Amaro,southernnationsnationalities,Belg,0.415,0.114,0.512,41
argoba,Argoba,amhara,Kiremt,0.463,0.204,0.61,41
argoba,Argoba,amhara,Belg,0.512,0.27,0.585,41
arsi,Arsi,oromia,Kiremt,0.415,0.125,0.561,41
arsi,Arsi,oromia,Belg,0.415,0.109,0.561,41
asosa,Asosa,benshangul_gumaz,Kiremt,0.537,0.305,0.634,41
asosa,Asosa,benshangul_gumaz,Belg,0.341,0.022,0.585,41
bahirdarspecialzone,BahirDarSpecialZone,amhara,Kiremt,0.537,0.302,0.634,41
bahirdarspecialzone,BahirDarSpecialZone,amhara,Belg,0.22,-0.168,0.488,41
bale,Bale,oromia,Kiremt,0.293,-0.049,0.463,41
bale,Bale,oromia,Belg,0.293,-0.087,0.488,41
basketo,Basketo,southernnationsnationalities,Kiremt,0.463,0.193,0.683,41
basketo,Basketo,southernnationsnationalities,Belg,0.317,-0.022,0.537,41
benchmaji,BenchMaji,southernnationsnationalities,Kiremt,0.39,0.072,0.488,41
benchmaji,BenchMaji,southernnationsnationalities,Belg,0.293,-0.048,0.463,41
borena,Borena,oromia,Kiremt,0.439,0.143,0.537,41
borena,Borena,oromia,Belg,0.293,-0.064,0.512,41
burji,Burji,southernnationsnationalities,Kiremt,0.512,0.267,0.707,41
burji,Burji,southernnationsnationalities,Belg,0.341,0.002,0.488,41
dawro,Dawro,southernnationsnationalities,Kiremt,0.341,0.012,0.537,41
dawro,Dawro,southernnationsnationalities,Belg,0.341,0.013,0.439,41
debubawi,Debubawi,tigray,Kiremt,0.488,0.231,0.634,41
debubawi,Debubawi,tigray,Belg,0.366,0.047,0.512,41
debubgondar,DebubGondar,amhara,Kiremt,0.488,0.226,0.61,41
debubgondar,DebubGondar,amhara,Belg,0.317,-0.021,0.439,41
debubmirabshewa,DebubMirabShewa,oromia,Kiremt,0.585,0.379,0.683,41
debubmirabshewa,DebubMirabShewa,oromia,Belg,0.463,0.197,0.61,41
debubomo,DebubOmo,southernnationsnationalities,Kiremt,0.293,-0.065,0.512,41
debubomo,DebubOmo,southernnationsnationalities,Belg,0.463,0.17,0.61,41
debubwollo,DebubWollo,amhara,Kiremt,0.439,0.145,0.683,41
debubwollo,DebubWollo,amhara,Belg,0.561,0.322,0.683,41
derashe,Derashe,southernnationsnationalities,Kiremt,0.537,0.29,0.683,41
derashe,Derashe,southernnationsnationalities,Belg,0.463,0.193,0.585,41
diredawa,DireDawa,diredawa,Kiremt,0.512,0.267,0.683,41
diredawa,DireDawa,diredawa,Belg,0.22,-0.17,0.512,41
doolo,Doolo,somali,Kiremt,0.268,-0.087,0.488,41
doolo,Doolo,somali,Belg,0.268,-0.094,0.561,41
fafan,Fafan,somali,Kiremt,0.415,0.091,0.561,41
fafan,Fafan,somali,Belg,0.415,0.124,0.512,41
gamogofa,GamoGofa,southernnationsnationalities,Kiremt,0.317,-0.012,0.61,41
gamogofa,GamoGofa,southernnationsnationalities,Belg,0.463,0.191,0.537,41
gedeo,Gedeo,southernnationsnationalities,Kiremt,0.317,-0.024,0.512,41
gedeo,Gedeo,southernnationsnationalities,Belg,0.22,-0.171,0.463,41
guji,Guji,oromia,Kiremt,0.415,0.102,0.561,41
guji,Guji,oromia,Belg,0.366,0.029,0.537,41
gurage,Gurage,southernnationsnationalities,Kiremt,0.463,0.202,0.561,41
gurage,Gurage,southernnationsnationalities,Belg,0.39,0.076,0.61,41
hadiya,Hadiya,southernnationsnationalities,Kiremt,0.244,-0.136,0.512,41
hadiya,Hadiya,southernnationsnationalities,Belg,0.341,0.012,0.561,41
hareri,Hareri,hararipeople,Kiremt,0.317,-0.022,0.537,41
hareri,Hareri,hararipeople,Belg,0.39,0.08,0.537,41
